Year,Géographie,Type de production d'électricité,GeoCode,Value
2022,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2022,Nouveau-Brunswick,Solaire,13,0.0
2022,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2022,Nouveau-Brunswick,Turbine éolienne,13,4.52
2022,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,96.62
2022,Terre-Neuve-et-Labrador,Autres types de production électrique,10,0.0
2022,Terre-Neuve-et-Labrador,Solaire,10,0.0
2022,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
2022,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.43
2022,Territoires du Nord-Ouest,Turbine à hydraulique,61,34.56
2022,Territoires du Nord-Ouest,Solaire,61,0.04
2022,Territoires du Nord-Ouest,Turbine éolienne,61,2.41
2022,Nouvelle-Écosse,Turbine à hydraulique,12,9.83
2022,Nouvelle-Écosse,Autres types de production électrique,12,0.0
2022,Nouvelle-Écosse,Solaire,12,0.0
2022,Nouvelle-Écosse,Turbine marémotrice,12,0.0
2022,Nouvelle-Écosse,Turbine éolienne,12,15.28
2022,Nunavut,Turbine à hydraulique,62,0.0
2022,Nunavut,Solaire,62,0.0
2022,Nunavut,Turbine éolienne,62,0.0
2022,Ontario,Turbine à hydraulique,35,25.77
2022,Ontario,Autres types de production électrique,35,0.0
2022,Ontario,Solaire,35,1.49
2022,Ontario,Turbine éolienne,35,9.32
2022,Île-du-Prince-Édouard,Turbine à hydraulique,11,0.0
2022,Île-du-Prince-Édouard,Autres types de production électrique,11,0.0
2022,Île-du-Prince-Édouard,Solaire,11,0.11
2022,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2022,Île-du-Prince-Édouard,Turbine éolienne,11,98.79
2022,Québec,Turbine à hydraulique,24,94.0
2022,Québec,Autres types de production électrique,24,0.0
2022,Québec,Solaire,24,0.01
2022,Québec,Turbine éolienne,24,5.04
2022,Saskatchewan,Turbine à hydraulique,47,13.61
2022,Saskatchewan,Autres types de production électrique,47,0.35
2022,Saskatchewan,Solaire,47,0.12
2022,Saskatchewan,Turbine éolienne,47,6.53
2022,Yukon,Turbine à hydraulique,60,88.24
2022,Yukon,Autres types de production électrique,60,0.0
2022,Yukon,Solaire,60,0.13
2022,Yukon,Turbine éolienne,60,0.0
2015,Alberta,"Total, tous les genres de production d'électricité",48,7.07
2015,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,90.92
2015,Manitoba,"Total, tous les genres de production d'électricité",46,99.56
2015,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,24.66
2015,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,95.7
2015,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,28.74
2015,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,15.24
2015,Nunavut,"Total, tous les genres de production d'électricité",62,0.0
2015,Ontario,"Total, tous les genres de production d'électricité",35,27.37
2015,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.34
2015,Québec,"Total, tous les genres de production d'électricité",24,99.38
2015,Saskatchewan,"Total, tous les genres de production d'électricité",47,17.8
2015,Yukon,"Total, tous les genres de production d'électricité",60,94.3
2016,Alberta,"Total, tous les genres de production d'électricité",48,8.48
2016,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,90.5
2016,Manitoba,"Total, tous les genres de production d'électricité",46,99.6
2016,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,26.49
2016,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,94.77
2016,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,31.87
2016,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,18.56
2016,Nunavut,"Total, tous les genres de production d'électricité",62,0.0
2016,Ontario,"Total, tous les genres de production d'électricité",35,31.22
2016,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.36
2016,Québec,"Total, tous les genres de production d'électricité",24,98.9
2016,Saskatchewan,"Total, tous les genres de production d'électricité",47,16.34
2016,Yukon,"Total, tous les genres de production d'électricité",60,93.96
2017,Alberta,"Total, tous les genres de production d'électricité",48,8.36
2017,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,91.43
2017,Manitoba,"Total, tous les genres de production d'électricité",46,99.57
2017,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,25.38
2017,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,94.45
2017,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,35.37
2017,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,21.57
2017,Nunavut,"Total, tous les genres de production d'électricité",62,0.0
2017,Ontario,"Total, tous les genres de production d'électricité",35,33.94
2017,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.23
2017,Québec,"Total, tous les genres de production d'électricité",24,98.82
2017,Saskatchewan,"Total, tous les genres de production d'électricité",47,18.62
2017,Yukon,"Total, tous les genres de production d'électricité",60,92.46
2018,Alberta,"Total, tous les genres de production d'électricité",48,8.01
2018,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,91.7
2018,Manitoba,"Total, tous les genres de production d'électricité",46,99.71
2018,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,24.59
2018,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,95.98
2018,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,36.06
2018,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,20.9
2018,Nunavut,"Total, tous les genres de production d'électricité",62,0.0
